C,Mean CV Macro F1,CV Standard Deviation,Mean Training Macro F1
0.01,0.5820881402442928,0.004708738290443271,0.6071503433622926
0.1,0.6489437675336782,0.009696818099101888,0.6840970003646235
1.0,0.659431815809495,0.016044955491644298,0.718987077485752
10.0,0.6592808032647552,0.018343532290843505,0.7285312167768399
100.0,0.6556906924044563,0.02004086412162331,0.7293622956896973
